ID,Production
37376,4.561999999999995
37377,4.573299999999996
37378,4.5392999999999954
37379,4.187099999999996
37380,4.211499999999996
37381,4.125699999999996
37382,4.112999999999996
37383,4.113799999999996
37384,3.9038999999999957
37385,3.979199999999996
37386,4.041399999999997
37387,4.239799999999997
37388,4.556699999999998
37389,4.549299999999998
37390,4.224299999999997
37391,4.239999999999997
37392,4.225699999999996
37393,4.238099999999997
37394,4.104099999999996
37395,4.151499999999996
37396,4.395399999999996
37397,4.601999999999996
37398,4.584699999999995
37399,4.473399999999997
37400,4.658899999999997
37401,4.976899999999997
37402,5.111999999999996
37403,5.090099999999996
37404,5.028599999999996
37405,4.9222999999999955
37406,4.984699999999996
37407,5.006099999999995
37408,4.880899999999998
37409,5.092399999999997
37410,4.931599999999997
37411,5.009999999999996
37412,5.125199999999999
37413,5.105799999999999
37414,5.109999999999998
37415,5.225699999999997
37416,5.496799999999997
37417,5.557299999999997
37418,5.555599999999997
37419,5.661699999999997
37420,5.722299999999995
37421,5.749599999999996
37422,5.625199999999996
37423,5.917299999999998
37424,5.8226999999999975
37425,5.794899999999997
37426,5.867199999999997
37427,5.8493999999999975
37428,5.863999999999997
37429,5.758499999999997
37430,5.822899999999997
37431,5.720699999999997
37432,5.6172999999999975
37433,5.513999999999997
37434,5.605099999999997
37435,5.637099999999997
37436,5.853099999999997
37437,5.873299999999997
37438,5.7777999999999965
37439,5.746199999999996
37440,5.660299999999996
37441,5.590499999999996
37442,5.411799999999997
37443,5.465899999999998
37444,5.365499999999997
37445,5.455099999999996
37446,5.464199999999996
37447,5.403199999999998
37448,5.3071999999999955
37449,5.133799999999996
37450,5.011099999999997
37451,5.071899999999997
37452,5.009199999999996
37453,4.903499999999997
37454,4.895799999999997
37455,4.8627999999999965
37456,4.920399999999997
37457,4.727999999999996
37458,4.7541999999999955
37459,4.737799999999996
37460,4.861799999999997
37461,4.871999999999996
37462,5.114799999999997
37463,5.026699999999997
37464,4.871199999999996
37465,4.848199999999997
37466,4.7681999999999976
37467,4.425999999999997
37468,4.418899999999996
37469,4.140699999999996
37470,4.098899999999996
37471,4.108599999999996
37472,3.925599999999996
37473,4.041899999999996
37474,4.037399999999995
37475,4.041699999999995
37476,4.037399999999995
37477,4.131399999999996
37478,4.200799999999996
37479,4.181299999999996
37480,4.181299999999996
37481,4.180699999999996
37482,4.180899999999996
37483,4.378299999999997
37484,4.542699999999997
37485,4.635899999999997
37486,4.662799999999997
37487,4.763899999999997
37488,4.6710999999999965
37489,4.611299999999996
37490,4.633899999999995
37491,4.764399999999996
37492,4.879899999999996
37493,5.1017999999999954
37494,5.181999999999996
37495,5.408399999999996
37496,5.498599999999998
37497,5.396499999999998
37498,5.3881999999999985
37499,5.477399999999999
37500,5.542699999999999
37501,5.671599999999999
37502,5.614599999999999
37503,5.615899999999999
37504,5.664899999999999
37505,5.700099999999999
37506,5.617499999999998
37507,5.622799999999999
37508,5.793899999999997
37509,5.761299999999998
37510,5.711999999999996
37511,5.7747999999999955
37512,5.689899999999997
37513,5.756699999999998
37514,5.466899999999997
37515,5.433099999999999
37516,5.4171
37517,5.394499999999998
37518,5.375699999999998
37519,5.843699999999997
37520,5.773699999999996
37521,5.695599999999997
37522,5.736799999999997
37523,5.798299999999997
37524,5.792399999999998
37525,5.632399999999998
37526,5.7308999999999966
37527,5.752699999999997
37528,5.629799999999997
37529,5.7955999999999985
37530,5.6077999999999975
37531,5.329599999999997
37532,5.777899999999996
37533,5.681799999999997
37534,5.569599999999997
37535,5.386499999999997
37536,5.300999999999998
37537,5.150999999999999
37538,5.363299999999997
37539,5.383099999999998
37540,5.417099999999997
37541,5.274499999999998
37542,5.2803999999999975
37543,5.198599999999996
37544,5.217199999999996
37545,5.220299999999996
37546,5.646699999999997
37547,5.736899999999996
37548,5.630299999999997
37549,5.391899999999997
37550,5.165499999999996
37551,5.221099999999995
37552,5.092699999999995
37553,5.061299999999996
37554,4.866599999999996
37555,4.734099999999996
37556,4.708799999999997
37557,5.0144999999999955
37558,5.3090999999999955
37559,5.436299999999997
37560,5.579699999999997
37561,5.8520999999999965
37562,6.036999999999998
37563,6.078499999999998
37564,6.045799999999997
37565,6.452899999999995
37566,6.775899999999996
37567,6.604199999999994
37568,6.663999999999994
37569,6.585999999999995
37570,6.606899999999995
37571,6.620199999999994
37572,6.644599999999993
37573,6.649399999999994
37574,6.666899999999995
37575,6.666899999999995
37576,6.637299999999994
37577,6.616199999999995
37578,6.697299999999996
37579,6.735599999999994
37580,6.714699999999994
37581,6.680199999999994
37582,6.6863999999999955
37583,6.6985999999999954
37584,6.710499999999996
37585,6.710499999999996
37586,6.535299999999996
37587,6.553499999999996
37588,6.604999999999995
37589,6.607399999999997
37590,6.607399999999997
37591,6.7214999999999945
37592,6.728399999999994
37593,6.728099999999994
37594,6.719599999999994
37595,6.669899999999993
37596,6.678199999999995
37597,6.712299999999994
37598,6.669099999999994
37599,6.6524999999999945
37600,6.675099999999994
37601,6.672799999999994
37602,6.737899999999994
37603,6.705499999999994
37604,6.724499999999995
37605,6.7096999999999944
37606,6.724499999999995
37607,6.712799999999994
37608,6.746199999999995
37609,6.6474999999999955
37610,6.590699999999996
37611,6.582299999999996
37612,6.561399999999996
37613,6.564299999999996
37614,6.506499999999996
37615,6.690999999999994
37616,6.693499999999992
